"","M0","M0.96","M2.04","M3","M6","M9","M12","M24","M36","M48","M60","M72","M84","M96","M108","M120","M180","M240","M360","M480","M600"
"2011-03-24",1.3516,NA,2.5165,2.61,2.6731,2.7553,2.8519,3.155,3.2321,3.4185,3.5035,3.683,3.7083,3.8046,NA,3.8762,4.0581,4.1745,4.3003,4.3704,4.4361
"2011-03-25",1.3401,NA,2.4422,2.6019,2.6741,2.7446,2.851,3.1592,3.2223,3.4212,3.4953,3.676,3.7107,3.8067,NA,3.8714,4.0581,4.1746,4.3003,4.3705,4.4362
"2011-03-28",1.2609,NA,2.4004,2.6262,2.6919,2.7505,2.88,3.1621,3.2323,3.4264,3.4958,3.68,3.7111,3.8168,NA,3.8807,4.0679,4.184,4.31,4.3801,4.4456
"2011-03-29",1.2609,NA,2.3966,2.5939,2.6975,2.7511,2.8883,3.1641,3.2326,3.4416,3.4969,3.6782,3.7344,3.8324,NA,3.9044,4.0598,4.1759,4.3019,4.372,4.4375
"2011-03-30",1.2584,NA,2.4266,2.5883,2.7039,2.7517,2.8733,3.1618,3.2292,3.4331,3.5157,3.6646,3.7368,3.8335,NA,3.9069,4.0429,4.1559,4.2822,4.3619,4.4276
"2011-03-31",1.2718,NA,2.4098,2.6179,2.7008,2.7351,2.8734,3.1796,3.2328,3.4403,3.5074,3.6566,3.7443,3.8386,NA,3.912,4.0455,4.1585,4.2847,4.3644,4.4302
"2011-04-01",1.2648,NA,2.4044,2.6197,2.6967,2.7348,2.8259,3.1563,3.2328,3.4408,3.5071,3.6527,3.7395,3.8328,NA,3.9126,4.0421,4.1551,4.2814,4.3611,4.4268
"2011-04-02",1.2528,NA,2.4083,2.6012,2.6939,2.7489,2.8346,3.1392,3.2357,3.4389,3.5096,3.657,3.7337,3.8282,NA,3.9078,4.0396,4.1526,4.2789,4.3587,4.4243
"2011-04-06",1.2555,NA,2.4757,2.6342,2.7161,2.7644,2.859,3.1562,3.2412,3.4556,3.5316,3.6971,3.737,3.8586,NA,3.9203,4.0518,4.1648,4.2911,4.3708,4.4365
"2011-04-07",1.2443,NA,2.5076,2.6588,2.7517,2.8008,2.8709,3.1563,3.2469,3.4446,3.5297,3.6876,3.7316,3.8491,NA,3.9167,4.0498,4.1628,4.2891,4.3689,4.4345
"2011-04-08",1.2389,NA,2.481,2.615,2.7217,2.7772,2.8589,3.1422,3.2434,3.4357,3.5315,3.6875,3.7244,3.8318,NA,3.9081,4.0449,4.1579,4.2842,4.3639,4.4296
"2011-04-11",1.2297,NA,2.5143,2.6085,2.7273,2.7737,2.8625,3.1433,3.2444,3.4358,3.51,3.6862,3.7128,3.8181,NA,3.8928,4.0616,4.1746,4.3009,4.3723,4.438
"2011-04-12",1.2178,NA,2.5152,2.6044,2.7272,2.7742,2.8482,3.1441,3.2365,3.4079,3.4632,3.6462,3.6653,3.7809,NA,3.87,4.0494,4.1624,4.2887,4.3601,4.4257
"2011-04-13",1.2087,NA,2.4991,2.5758,2.7,2.7744,2.8144,3.1046,3.2049,3.3726,3.432,3.643,3.6675,3.7793,NA,3.8703,4.0594,4.1725,4.306,4.378,4.4435
"2011-04-14",1.2064,NA,2.4653,2.5419,2.6857,2.7749,2.8105,3.0829,3.1946,3.374,3.4321,3.638,3.6629,3.7769,NA,3.8707,4.0545,4.1676,4.3011,4.373,4.4385
"2011-04-15",1.2008,NA,2.4496,2.5539,2.7014,2.7615,2.8133,3.0719,3.1994,3.3749,3.4326,3.6382,3.6632,3.7771,NA,3.8709,4.0546,4.1677,4.2997,4.372,4.4375
"2011-04-18",1.2355,NA,2.4414,2.5487,2.707,2.7782,2.8297,3.0936,3.2137,3.3747,3.462,3.6666,3.6881,3.8035,NA,3.896,4.0661,4.1748,4.3068,4.3791,4.4446
"2011-04-19",1.2363,NA,2.4192,2.5559,2.6775,2.7802,2.8186,3.0943,3.2086,3.3757,3.4622,3.6616,3.6833,3.7986,NA,3.8911,4.0611,4.1693,4.3012,4.3736,4.4391
"2011-04-20",1.2303,NA,2.418,2.5868,2.6856,2.7808,2.8211,3.0949,3.2037,3.3764,3.4574,3.6616,3.6834,3.7986,NA,3.8913,4.0612,4.1694,4.3013,4.3737,4.4392
"2011-04-21",2.1185,NA,2.5408,2.602,2.7084,2.7802,2.8283,3.1058,3.2205,3.364,3.4571,3.6648,3.6834,3.8003,NA,3.8912,4.0612,4.1694,4.3013,4.3737,4.4392
"2011-04-22",1.8906,NA,2.5701,2.6013,2.6969,2.7437,2.8389,3.1033,3.2274,3.3629,3.464,3.6596,3.6845,3.803,NA,3.8966,4.0638,4.172,4.3039,4.3763,4.4418
"2011-04-25",1.6997,NA,2.635,2.6425,2.7397,2.7807,2.84,3.1037,3.2425,3.3736,3.4646,3.6598,3.6848,3.803,NA,3.8961,4.066,4.175,4.306,4.379,4.443
"2011-04-26",1.6914,NA,2.6584,2.6629,2.7527,2.7796,2.8486,3.1145,3.2685,3.3707,3.4704,3.6628,3.6879,3.8046,NA,3.896,4.0661,4.17,4.3015,4.3771,4.4411
"2011-04-27",1.3635,NA,2.594,2.6318,2.7094,2.7468,2.8078,3.0994,3.2581,3.3724,3.4706,3.6598,3.6847,3.796,NA,3.8812,4.051,4.155,4.2865,4.3651,4.429
"2011-04-28",1.3644,NA,2.554,2.5728,2.7163,2.7519,2.8066,3.0999,3.2639,3.37,3.4418,3.6598,3.6879,3.796,NA,3.87,4.0461,4.1501,4.2816,4.3602,4.4241
"2011-04-29",1.8394,NA,2.556,2.5789,2.7149,2.749,2.8094,3.098,3.2594,3.3729,3.4321,3.6426,3.6714,3.7875,NA,3.8713,4.0462,4.1501,4.2896,4.3681,4.432
"2011-05-03",1.8927,NA,2.5547,2.6131,2.7257,2.766,2.8335,3.0966,3.2617,3.3703,3.4242,3.6499,3.6793,3.7938,NA,3.8752,4.0489,4.1529,4.2923,4.3708,4.4347
"2011-05-04",1.8569,NA,2.5585,2.6135,2.72,2.7665,2.82,3.0959,3.2619,3.3705,3.4252,3.6469,3.6691,3.7902,NA,3.8772,4.0468,4.1508,4.2902,4.3687,4.4326
"2011-05-05",1.4544,NA,2.5462,2.6137,2.71,2.7645,2.8528,3.0993,3.2623,3.3712,3.4315,3.6539,3.6757,3.7912,NA,3.8715,4.0443,4.1483,4.2878,4.3662,4.4301
"2011-05-06",1.454,NA,2.5371,2.5846,2.7072,2.7799,2.8661,3.0986,3.2632,3.3721,3.4273,3.6274,3.6455,3.7581,NA,3.8308,4.0244,4.1284,4.2679,4.3463,4.4102
"2011-05-09",1.5802,NA,2.5467,2.6156,2.7261,2.7942,2.8614,3.1029,3.2687,3.3706,3.4224,3.6226,3.6464,3.7592,NA,3.8378,4.0279,4.1319,4.2714,4.3498,4.4137
"2011-05-10",1.5702,NA,2.5466,2.6172,2.7378,2.7727,2.8567,3.1029,3.2773,3.3598,3.4323,3.6226,3.6464,3.7564,NA,3.8326,4.0251,4.1291,4.2686,4.347,4.4109
"2011-05-11",1.5608,NA,2.5554,2.6027,2.7394,2.8072,2.8758,3.1049,3.2726,3.3707,3.424,3.6026,3.6275,3.7464,NA,3.8334,4.0251,4.1306,4.2679,4.3471,4.411
"2011-05-12",1.546,NA,2.5429,2.5954,2.7367,2.8175,2.9065,3.1072,3.2676,3.3714,3.4215,3.6026,3.6326,3.7405,NA,3.8211,4.0192,4.1246,4.2619,4.3411,4.405
"2011-05-13",1.5494,NA,2.6276,2.714,2.8867,2.9339,2.9747,3.1468,3.2929,3.372,3.4511,3.6148,3.6452,3.7541,NA,3.8363,4.0268,4.1322,4.2695,4.3486,4.4125
"2011-05-16",1.551,NA,2.6826,2.755,2.9009,2.9272,2.9799,3.1792,3.2881,3.3708,3.4532,3.6206,3.6478,3.7601,NA,3.8432,4.03,4.145,4.2823,4.3615,4.4254
"2011-05-17",1.5594,NA,2.6661,2.7574,2.8977,2.9138,2.9596,3.1547,3.2922,3.3711,3.4532,3.6206,3.654,3.7594,NA,3.8318,4.0293,4.1503,4.2816,4.3608,4.4247
"2011-05-18",2.6094,NA,2.6589,2.75,2.8777,2.8981,2.9585,3.1696,3.2902,3.371,3.4507,3.6182,3.6485,3.7592,NA,3.8338,4.0303,4.1512,4.2826,4.3617,4.4256
"2011-05-19",2.6769,NA,2.7101,2.7521,2.8846,2.9076,2.9788,3.1662,3.2916,3.37,3.4502,3.616,3.651,3.7798,NA,3.8309,4.0317,4.1526,4.2826,4.353,4.4169
"2011-05-20",2.7752,NA,2.7801,2.7924,2.952,2.9702,3.037,3.1716,3.3027,3.371,3.4424,3.6162,3.6518,3.785,NA,3.8429,4.0367,4.1576,4.2877,4.358,4.4219
"2011-05-23",2.771,NA,2.858,2.8606,2.952,2.9945,3.0466,3.1748,3.3059,3.37,3.428,3.6164,3.6401,3.7576,NA,3.84,4.0398,4.1608,4.2907,4.3611,4.425
"2011-05-24",3.009,NA,3.0104,2.8806,2.9937,3.0395,3.055,3.1853,3.3054,3.38,3.4303,3.6139,3.6378,3.7564,NA,3.8414,4.0404,4.1614,4.2913,4.3617,4.4256
"2011-05-25",3.2702,NA,3.0384,2.9,2.9924,3.0408,3.0577,3.1856,3.307,3.36,3.3968,3.6189,3.6456,3.7613,NA,3.8382,4.0383,4.1593,4.3113,4.3917,4.4556
"2011-05-26",3.1243,NA,3.0755,2.9047,2.9853,3.0216,3.0589,3.186,3.2884,3.33,3.3846,3.6164,3.6374,3.7713,NA,3.8352,4.0373,4.1583,4.3113,4.4067,4.4756
"2011-05-27",2.1158,NA,2.8512,2.8767,2.9253,2.974,3.0053,3.1831,3.2801,3.331,3.3953,3.6066,3.6292,3.7663,NA,3.8217,4.0311,4.1521,4.3051,4.4036,4.4725
"2011-05-30",1.9727,NA,2.8756,2.8874,2.9286,2.9613,3.0317,3.187,3.2751,3.33,3.3906,3.6048,3.6196,3.7666,NA,3.8256,4.0324,4.1634,4.3064,4.4049,4.4738
"2011-05-31",2.6193,NA,2.8999,2.9062,2.9427,2.9723,3.0348,3.1825,3.2809,3.33,3.4156,3.6148,3.6471,3.778,NA,3.8311,4.0351,4.1735,4.3182,4.4108,4.4797
"2011-06-01",2.2703,NA,2.8831,2.9041,2.9451,2.9932,3.0402,3.1831,3.3113,3.36,3.4226,3.6178,3.6502,3.7792,NA,3.8311,4.0351,4.1623,4.3182,4.4108,4.48
"2011-06-02",2.1697,NA,2.8971,2.9039,2.9565,3.0034,3.0597,3.1834,3.3305,3.37,3.4233,3.6173,3.6502,3.7777,NA,3.8337,4.0376,4.1648,4.3207,4.4133,4.4879
"2011-06-03",1.9311,NA,2.8911,2.906,2.9506,2.9979,3.0419,3.1806,3.3312,3.3715,3.4241,3.6183,3.6491,3.777,NA,3.8337,4.0376,4.1648,4.3207,4.4133,4.4879
"2011-06-07",2.4228,NA,2.9195,2.9261,2.9639,3.0002,3.0558,3.1854,3.3343,3.3701,3.4347,3.6275,3.6598,3.7744,NA,3.8341,4.0376,4.1648,4.3207,4.4133,4.4879
"2011-06-08",2.7576,NA,2.942,2.9461,2.9876,3.0218,3.0925,3.1904,3.3552,3.3901,3.4904,3.635,3.679,3.782,NA,3.8572,4.0533,4.1805,4.3364,4.429,4.5036
"2011-06-09",2.8174,NA,2.952,2.9611,3.0012,3.028,3.0833,3.1959,3.3605,3.4181,3.5136,3.6358,3.6855,3.7785,NA,3.8726,4.0628,4.19,4.3459,4.4345,4.509
"2011-06-10",2.8483,NA,2.972,2.9811,3.0063,3.0256,3.0901,3.1839,3.3712,3.4239,3.5219,3.6347,3.7119,3.785,NA,3.894,4.0778,4.205,4.3559,4.4395,4.514
"2011-06-13",2.8341,NA,2.9825,2.9961,3.017,3.0412,3.1185,3.2168,3.4005,3.443,3.5245,3.648,3.7151,3.7978,NA,3.9036,4.0838,4.211,4.3619,4.4455,4.52
"2011-06-14",2.8158,NA,3.0125,3.0461,3.0722,3.0966,3.1552,3.275,3.4336,3.4832,3.5701,3.6815,3.7454,3.8252,NA,3.9406,4.1013,4.2285,4.3794,4.463,4.5375
"2011-06-15",3.3194,NA,3.2065,3.2261,3.2628,3.304,3.3465,3.3914,3.489,3.5554,3.6211,3.7234,3.8032,3.8909,NA,3.9986,4.1314,4.2586,4.4095,4.4831,4.5576
"2011-06-16",3.3273,NA,3.3614,3.3801,3.4579,3.4987,3.5,3.507,3.5217,3.58,3.6208,3.7291,3.8383,3.91,NA,3.9839,4.1224,4.2496,4.4005,4.4781,4.5526
"2011-06-17",3.3166,NA,3.4814,3.534,3.5905,3.6902,3.6113,3.5487,3.5332,3.5809,3.6309,3.7486,3.8276,3.9015,NA,3.9803,4.1224,4.2496,4.4005,4.4781,4.5526
"2011-06-20",4.8016,NA,3.4401,3.5183,3.55,3.5973,3.5808,3.5432,3.4851,3.55,3.5845,3.71,3.7764,3.9074,NA,3.9413,4.1024,4.2347,4.3856,4.4632,4.5377
"2011-06-21",4.9841,NA,3.4236,3.5332,3.5462,3.5873,3.5805,3.5359,3.4702,3.5407,3.5602,3.7025,3.7551,3.88,NA,3.9003,4.0726,4.2248,4.3857,4.4633,4.5378
"2011-06-22",5.3166,NA,3.5689,3.578,3.5949,3.5974,3.5929,3.5754,3.52,3.5712,3.6162,3.7217,3.8126,3.8972,NA,3.9555,4.1276,4.2848,4.4458,4.5083,4.5778
"2011-06-23",5.1791,NA,3.6625,3.6398,3.624,3.6181,3.6168,3.6093,3.51,3.5581,3.6172,3.7078,3.8117,3.892,NA,3.9691,4.1576,4.3298,4.5058,4.5583,4.6178
"2011-06-24",4.8968,NA,3.5598,3.5736,3.58,3.5821,3.5903,3.5822,3.4947,3.5207,3.5823,3.6569,3.7722,3.8606,NA,3.8963,4.1176,4.2948,4.4958,4.5483,4.6078
"2011-06-27",3.9583,NA,3.4271,3.4355,3.437,3.4374,3.4957,3.5483,3.4569,3.498,3.5289,3.6262,3.7342,3.8377,NA,3.8703,4.0916,4.2793,4.4958,4.5473,4.6068
"2011-06-28",2.902,NA,3.38,3.408,3.4244,3.4545,3.5007,3.5338,3.4552,3.5041,3.5467,3.6368,3.7267,3.8463,NA,3.88,4.1016,4.2893,4.5058,4.5573,4.6168
"2011-06-29",2.8816,NA,3.3864,3.4,3.4444,3.4431,3.4915,3.5019,3.4601,3.4978,3.5536,3.652,3.738,3.85,NA,3.8833,4.1016,4.2893,4.5058,4.5573,4.6168
"2011-06-30",2.8449,NA,3.3561,3.3902,3.4127,3.4178,3.4742,3.4719,3.47,3.4931,3.555,3.6607,3.7364,3.839,NA,3.8857,4.1039,4.2916,4.5048,4.5563,4.6158
"2011-07-01",2.5763,NA,3.3392,3.3477,3.35,3.3533,3.432,3.4448,3.4104,3.4697,3.5339,3.6632,3.7102,3.8119,NA,3.8775,4.0877,4.2828,4.4983,4.5505,4.6106
"2011-07-04",2.2631,NA,3.2842,3.2927,3.297,3.3003,3.4018,3.4484,3.3856,3.4586,3.5155,3.6492,3.7099,3.8149,NA,3.8842,4.0944,4.2895,4.5063,4.5585,4.6186
"2011-07-05",2.7612,NA,3.4387,3.2927,3.2828,3.317,3.404,3.4384,3.3956,3.4622,3.5269,3.6529,3.7075,3.8065,NA,3.8909,4.102,4.2971,4.5055,4.558,4.6181
"2011-07-06",2.7183,NA,3.2487,3.2592,3.2709,3.3326,3.4151,3.4287,3.4358,3.476,3.5437,3.6546,3.74,3.8067,NA,3.9116,4.122,4.3171,4.4949,4.568,4.6281
"2011-07-07",2.5929,NA,3.259,3.2773,3.2969,3.293,3.4,3.4288,3.4363,3.5032,3.5529,3.66,3.7423,3.811,NA,3.9021,4.12,4.3151,4.495,4.568,4.6281
"2011-07-08",2.6211,NA,3.1875,3.1996,3.2561,3.3156,3.41,3.4162,3.4375,3.4913,3.5501,3.66,3.7376,3.821,NA,3.8881,4.106,4.3011,4.488,4.561,4.6211
"2011-07-11",2.4572,NA,3.1449,3.1759,3.2251,3.2968,3.3821,3.4472,3.4619,3.5125,3.5704,3.6664,3.7395,3.8272,NA,3.8923,4.1102,4.3053,4.4922,4.5652,4.6253
"2011-07-12",1.9297,NA,3.106,3.1701,3.2163,3.3313,3.4123,3.4481,3.462,3.5127,3.5648,3.6609,3.7471,3.8248,NA,3.8899,4.1028,4.2979,4.4885,4.5615,4.6216
"2011-07-13",2.4397,NA,3.1319,3.2,3.2763,3.5041,3.5323,3.4744,3.4999,3.5327,3.569,3.6724,3.7509,3.8462,NA,3.8913,4.1044,4.2995,4.4752,4.5615,4.6216
"2011-07-14",3.3089,NA,3.2701,3.2541,3.3363,3.5666,3.5779,3.4898,3.5021,3.5477,3.5869,3.6852,3.7714,3.8585,NA,3.9204,4.1334,4.3285,4.4902,4.5765,4.6366
"2011-07-15",2.9555,NA,3.0965,3.0993,3.293,3.5061,3.5674,3.4576,3.4947,3.5477,3.5951,3.6918,3.787,3.8755,NA,3.9278,4.1435,4.3278,4.4787,4.5651,4.6252
"2011-07-18",2.7239,NA,3.076,3.1619,3.355,3.5387,3.5868,3.4701,3.5126,3.5685,3.6441,3.7225,3.8181,3.899,NA,3.9558,4.1715,4.3441,4.4949,4.5813,4.6414
"2011-07-19",3.5172,NA,3.1551,3.241,3.4309,3.63,3.665,3.5496,3.5924,3.6393,3.6855,3.7687,3.8737,3.9718,NA,4.0088,4.199,4.3716,4.5149,4.6013,4.6614
"2011-07-20",3.8255,NA,3.357,3.4429,3.5232,3.7202,3.75,3.6344,3.686,3.7162,3.7608,3.8616,3.9616,4.0323,NA,4.0715,4.2246,4.3973,4.5406,4.6269,4.687
"2011-07-21",4.508,NA,3.307,3.4488,3.6,3.7633,3.8242,3.6993,3.7291,3.7748,3.8153,3.913,4.0012,4.059,NA,4.0889,4.2372,4.4097,4.5531,4.6395,4.6996
"2011-07-22",4.3839,NA,3.28,3.3379,3.6081,3.7502,3.8275,3.6954,3.7564,3.7748,3.7968,3.8966,3.9933,4.0401,NA,4.0671,4.2256,4.3983,4.5416,4.628,4.688
"2011-07-25",4.228,NA,3.2981,3.3375,3.6257,3.7342,3.7943,3.6972,3.7573,3.775,3.8023,3.8956,3.9623,4.0131,NA,4.0663,4.2252,4.3979,4.5412,4.6276,4.6876
"2011-07-26",3.7022,NA,3.2781,3.3644,3.6407,3.7407,3.7842,3.7195,3.7595,3.7775,3.8191,3.901,3.9625,4.0277,NA,4.0753,4.2302,4.4029,4.5462,4.6326,4.6926
"2011-07-27",3.2355,NA,3.2782,3.3951,3.6766,3.7532,3.7793,3.7233,3.7489,3.7675,3.8145,3.9,3.9627,4.0327,NA,4.0855,4.2377,4.4329,4.5612,4.6476,4.7076
"2011-07-28",2.7239,NA,3.2202,3.3381,3.6167,3.7291,3.7393,3.732,3.7307,3.7665,3.8118,3.8995,3.9574,4.0281,NA,4.0627,4.2577,4.4729,4.5812,4.6676,4.7276
"2011-07-29",2.5689,NA,3.1816,3.2995,3.5766,3.6925,3.7339,3.7242,3.7126,3.7489,3.7914,3.8831,3.937,4.0119,NA,4.0477,4.2577,4.4729,4.5812,4.6676,4.7276
"2011-08-01",2.1135,NA,3.1991,3.317,3.5937,3.7006,3.7102,3.7148,3.7158,3.7488,3.7978,3.8783,3.9329,4.0067,NA,4.0502,4.2558,4.471,4.57,4.6657,4.7257
"2011-08-02",1.8993,NA,3.1603,3.32,3.5928,3.6839,3.7194,3.7016,3.7175,3.7489,3.8033,3.869,3.9401,4.003,NA,4.0615,4.2583,4.4927,4.5875,4.6682,4.7282
"2011-08-03",1.9005,NA,3.1631,3.3228,3.61,3.6769,3.7045,3.7316,3.7602,3.816,3.9,3.9586,4.0011,4.0564,NA,4.1201,4.2783,4.5127,4.6075,4.6882,4.7482
"2011-08-04",1.9314,NA,3.1827,3.3424,3.6103,3.699,3.7059,3.7263,3.753,3.8338,3.9568,3.9737,3.9975,4.0425,NA,4.0911,4.269,4.5034,4.5982,4.6789,4.7389
"2011-08-05",1.9047,NA,3.1668,3.3265,3.5891,3.6596,3.6707,3.6906,3.7036,3.7978,3.8997,3.9177,3.948,3.9886,NA,4.0423,4.2428,4.4872,4.582,4.6627,4.7227
"2011-08-08",1.8249,NA,3.1368,3.2965,3.5305,3.5684,3.6233,3.677,3.6705,3.7819,3.862,3.8956,3.9335,3.9742,NA,4.0007,4.2228,4.4822,4.577,4.6576,4.7176
"2011-08-09",1.8331,NA,3.1014,3.2468,3.4797,3.5146,3.599,3.6484,3.6504,3.7813,3.831,3.8674,3.8863,3.9366,NA,3.9554,4.201,4.4713,4.5715,4.6549,4.7163
"2011-08-10",2.1388,NA,3.0614,3.2268,3.4544,3.5197,3.5821,3.6379,3.6591,3.765,3.8329,3.8787,3.918,3.9466,NA,3.9639,4.2059,4.4466,4.535,4.6367,4.7081
"2011-08-11",1.8401,NA,3.0593,3.2256,3.4406,3.487,3.5481,3.6212,3.6239,3.7238,3.7764,3.8489,3.8604,3.9009,NA,3.9291,4.1822,4.4282,4.5328,4.6347,4.7062
"2011-08-12",1.8905,NA,3.0425,3.2087,3.4114,3.5223,3.5782,3.61,3.6138,3.7239,3.8056,3.8522,3.8769,3.916,NA,3.9268,4.18,4.4169,4.5288,4.6308,4.7062
"2011-08-15",1.9455,NA,2.987,3.18,3.4113,3.531,3.5832,3.6032,3.6216,3.7234,3.8104,3.8616,3.8638,3.916,NA,3.9231,4.1782,4.4009,4.5133,4.6228,4.6982
"2011-08-16",2.0834,NA,3.0375,3.2142,3.4524,3.5547,3.6218,3.6312,3.6459,3.7406,3.8355,3.8748,3.9008,3.9336,NA,3.9492,4.1873,4.4099,4.5112,4.6228,4.6982
"2011-08-17",2.0955,NA,3.0037,3.2142,3.506,3.5477,3.6257,3.6296,3.6573,3.7437,3.8229,3.8641,3.8928,3.9228,NA,3.9432,4.1842,4.3899,4.5081,4.6197,4.6951
"2011-08-18",2.5388,NA,3.0457,3.2562,3.5439,3.583,3.656,3.66,3.672,3.7488,3.8328,3.8744,3.9026,3.9304,NA,3.956,4.1929,4.3987,4.5169,4.6284,4.7038
"2011-08-19",2.7855,NA,3.0387,3.2492,3.5285,3.564,3.6475,3.6517,3.6536,3.7313,3.7921,3.86,3.8757,3.9019,NA,3.9331,4.1829,4.3886,4.5069,4.6185,4.6939
"2011-08-22",3.1263,NA,3.0537,3.2642,3.5407,3.5756,3.6391,3.6493,3.6661,3.7385,3.7974,3.8608,3.8761,3.9102,NA,3.9325,4.183,4.3887,4.5069,4.6185,4.6939
"2011-08-23",3.3269,NA,3.0757,3.2862,3.5277,3.5731,3.6476,3.6576,3.6524,3.7485,3.8123,3.8622,3.8933,3.923,NA,3.9356,4.1855,4.3912,4.5094,4.621,4.6964
"2011-08-24",2.8646,NA,3.0817,3.2922,3.5442,3.6031,3.66,3.6627,3.6668,3.7488,3.8125,3.8623,3.905,3.933,NA,3.9501,4.1929,4.3987,4.498,4.61,4.6862
"2011-08-25",2.434,NA,3.0905,3.301,3.5591,3.5957,3.6607,3.6676,3.6753,3.749,3.8246,3.8729,3.9302,3.9669,NA,3.975,4.2055,4.4112,4.5105,4.6225,4.6987
"2011-08-26",2.3198,NA,3.1034,3.316,3.5743,3.5931,3.6692,3.6729,3.698,3.7977,3.8597,3.889,3.9387,3.9804,NA,3.9886,4.2055,4.4112,4.4905,4.6103,4.6919
"2011-08-29",2.2613,NA,3.2234,3.436,3.6979,3.7313,3.8092,3.7991,3.848,3.8859,3.9869,3.9996,4.0006,4.0336,NA,4.0994,4.2605,4.4662,4.5205,4.6302,4.7119
"2011-08-30",2.5271,NA,3.3244,3.5836,3.8323,3.9039,3.9379,3.8981,3.9338,3.9858,4.039,4.0539,4.0717,4.1006,NA,4.1303,4.2805,4.4862,4.5397,4.6392,4.7309
"2011-08-31",2.4501,NA,3.3542,3.6175,3.8444,3.8972,3.9174,3.8923,3.9108,3.9701,4.0131,4.0357,4.0712,4.094,NA,4.105,4.2705,4.4762,4.5297,4.6292,4.7209
"2011-09-01",2.5155,NA,3.3524,3.6284,3.8137,3.8697,3.9,3.8673,3.8791,3.9263,3.9711,4.0025,4.0233,4.0649,NA,4.0708,4.2555,4.4612,4.5147,4.6142,4.7059
"2011-09-02",2.5771,NA,3.3403,3.5943,3.8232,3.8721,3.897,3.8673,3.8717,3.9102,3.9559,4.0117,4.0218,4.0653,NA,4.07,4.2552,4.4609,4.5144,4.6139,4.7056
"2011-09-05",2.9855,NA,3.3253,3.5793,3.8203,3.828,3.8923,3.8703,3.8529,3.8924,3.9122,3.9794,4.009,4.0463,NA,4.0501,4.2453,4.451,4.5044,4.604,4.6957
"2011-09-06",2.0938,NA,3.3753,3.6135,3.7976,3.8276,3.8675,3.8685,3.8607,3.8764,3.8814,3.969,3.9782,4.0045,NA,4.0107,4.2302,4.4359,4.4984,4.5979,4.6896
"2011-09-07",2.1509,NA,3.4453,3.6189,3.7794,3.8398,3.8727,3.9287,3.9525,3.9233,3.9218,3.9903,4.0239,4.0436,NA,4.05,4.2488,4.4433,4.5004,4.5999,4.6916
"2011-09-08",2.2021,NA,3.4274,3.6285,3.8006,3.8465,3.8716,3.9112,3.957,3.9265,3.943,3.994,4.0305,4.0567,NA,4.065,4.2562,4.4508,4.4896,4.5899,4.6816
"2011-09-09",2.1371,NA,3.3913,3.5834,3.7763,3.8253,3.8642,3.903,3.9439,3.9031,3.9083,3.9867,4.0004,4.0213,NA,4.0452,4.2463,4.4208,4.4796,4.5799,4.6716
"2011-09-13",2.0488,NA,3.3612,3.583,3.7386,3.8019,3.8642,3.9141,3.9376,3.8911,3.8858,3.9623,3.9763,4.0108,NA,4.0208,4.2338,4.4008,4.4671,4.5675,4.6592
"2011-09-14",2.0538,NA,3.2576,3.5444,3.7889,3.8631,3.9342,3.9391,3.9445,3.9138,3.9015,3.9775,3.9788,4.0118,NA,4.021,4.2338,4.4008,4.4671,4.5675,4.6592
"2011-09-15",2.2896,NA,3.2476,3.5159,3.8026,3.8369,3.9214,3.9548,3.9661,3.9275,3.928,3.9832,4.0073,4.0359,NA,4.0495,4.2481,4.4151,4.4813,4.5817,4.6734
"2011-09-16",2.2863,NA,3.2566,3.5173,3.9201,3.9263,3.9401,3.9673,3.9824,3.9472,3.9501,3.997,4.0293,4.0544,NA,4.0752,4.261,4.428,4.4943,4.5947,4.6864
"2011-09-19",2.574,NA,3.2938,3.5701,3.8429,3.8586,3.9219,3.9744,3.9862,3.9557,3.9535,3.9999,4.0233,4.0631,NA,4.0801,4.2635,4.4306,4.4969,4.5972,4.689
"2011-09-20",2.8938,NA,3.3039,3.5846,3.844,3.85,3.9116,3.9719,3.9722,3.9492,3.944,3.9978,4.0362,4.0716,NA,4.0801,4.2635,4.4306,4.4969,4.5972,4.689
"2011-09-21",2.8309,NA,3.3154,3.5368,3.8443,3.8442,3.8729,3.9614,3.9571,3.9594,3.9581,4.0017,4.029,4.0575,NA,4.0908,4.271,4.438,4.4951,4.5954,4.6872
"2011-09-22",2.6005,NA,3.3128,3.515,3.8193,3.8291,3.8529,3.9152,3.9186,3.9111,3.9164,3.9771,3.9954,4.0497,NA,4.0676,4.2598,4.4268,4.4838,4.5841,4.676
"2011-09-23",2.3905,NA,3.258,3.5001,3.6654,3.6641,3.7032,3.8221,3.8232,3.82,3.8187,3.8882,3.9232,3.965,NA,3.9662,4.2091,4.3761,4.449,4.5494,4.6411
"2011-09-26",2.1921,NA,3.2336,3.4378,3.5203,3.5366,3.5519,3.7063,3.7447,3.7453,3.7549,3.8473,3.8563,3.8805,NA,3.8878,4.1774,4.3634,4.4279,4.5282,4.6199
"2011-09-27",3.1513,NA,3.2475,3.4553,3.5269,3.5661,3.5766,3.6918,3.7697,3.7699,3.7931,3.888,3.8909,3.9057,NA,3.9158,4.1836,4.3582,4.423,4.5233,4.615
